what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269374143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269382218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269395252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269395453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269400763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349269441891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349269466247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269498377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269498852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269500582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269508103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269508283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269510905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269518324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269530713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269530916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349269531162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349269539612
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349269541579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349269543057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269552138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269552412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269571708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269576043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269584051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349269589465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269594745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269595035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349269603740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269612232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349269612564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269617956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269640735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269644122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269648682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269652360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349269657261
