what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349261979096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262033079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262035619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262037213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262041154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262041355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262042653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349262061599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349262062948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262064228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262065528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262065826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262067395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262069036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262096471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262099945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262122244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262122496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262124015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262130964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262131129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262136334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262137540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349262149007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349262149155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262150505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262155990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262156181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262158653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262175936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262176204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262177878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262182378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262182497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262185040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262188967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262191914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262198890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262200477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262213737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262218492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262220507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262222686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262223003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262227793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262228045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262230395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262250459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349262257116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262273132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262273338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262275208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262279299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349262283567
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349262291244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262293453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262299283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1349262299468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1349262299468
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349262300036
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349262300419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349262302850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349262302988
