what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265883612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265893484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265900243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265906413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265920484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265926280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265926558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265928194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349265931932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349265945269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265950876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265959476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265967135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265969966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265973424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265973903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349265976161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265977749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265979731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265983665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349265983955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349265985730
